fecha;total;activos;fallecidos;recuperados
0;1;1;0;0
1;2;2;0;0
2;3;2;0;0
3;6;5;0;0
4;6;5;0;0
5;8;7;0;0
6;9;8;0;0
7;13;12;0;0
8;17;16;0;0
9;19;18;0;0
10;21;20;0;0
11;21;20;0;0
12;24;19;0;4
13;25;19;0;5
14;28;22;0;5
15;34;23;0;10
16;36;25;0;10
17;36;25;0;10
18;39;26;0;12
19;46;33;0;12
20;47;34;0;12
21;50;37;0;12
22;61;44;2;15
23;70;52;3;15
24;74;54;3;17
25;80;60;3;17
26;87;67;3;17
27;126;106;3;17
28;137;115;3;19
29;153;130;3;19
30;156;131;5;19
31;167;142;5;19
32;180;155;5;19
33;196;171;5;19
34;214;185;7;21
35;235;206;7;21
36;257;227;7;21
37;289;258;7;22
38;294;261;7;24
39;316;282;8;24
40;342;305;10;25
41;384;341;11;30
42;430;387;11;30
43;473;413;13;45
44;500;434;15;49
45;530;464;15;49
46;557;477;16;62
47;585;502;16;65
48;599;515;16;66
49;644;554;16;72
50;688;597;17;72
51;703;612;17;72
52;730;630;19;79
53;763;663;19;79
54;798;689;21;86
55;832;717;23;90
56;900;773;24;101
57;967;837;24;104
58;1052;914;26;110
59;1114;975;26;111
60;1199;1050;27;120
61;1342;1190;29;121
62;1518;1358;29;129
63;1643;1476;30;135
64;1763;1590;33;138
65;1912;1737;35;138
66;2001;1822;38;139
67;2133;1933;43;155
68;2265;2059;45;159
69;2512;2240;48;222
70;2743;2468;51;222
71;3054;2753;55;244
72;3424;3106;58;258
73;3760;3425;59;274
74;3954;3600;63;289
